district,adm_okrug,area,pop_density,Latitude,Longitude,dist_price
Куркино,СЗАО,790,4333.04,55.89362070000001,37.3887002,168022.0
Левобережный,САО,800,6839.0,55.8650743,37.4691831,171944.0
Лефортово,ЮВАО,906,10537.2,55.757398800000004,37.7049319,188256.0
Лианозово,СВАО,579,14859.24,55.900156499999994,37.566279200000004,133827.0
Ломоносовский,ЮЗАО,334,26469.16,55.6799618,37.5332552,229014.0
Лосиноостровский,СВАО,554,14990.25,55.8826072,37.694540100000005,147845.0
Люблино,ЮВАО,1741,9909.42,55.675622399999995,37.761925399999996,138523.0
Марфино,СВАО,297,11979.46,55.833041599999994,37.59134470000001,167887.0
Марьина Роща,СВАО,468,14431.2,55.795515599999995,37.616309,211977.0
Марьино,ЮВАО,1191,21338.54,55.6500377,37.74330560000001,140306.0
Метрогородок,ВАО,2757,1418.97,55.8249036,37.756955,132441.0
Мещанский,ЦАО,460,13359.13,55.779171999999996,37.6279886,320746.0
Митино,СЗАО,1267,15428.26,55.845754299999996,37.3622259,166324.0
Можайский,ЗАО,1073,12961.88,55.7167137,37.4148645,200874.0
Молжаниновский,САО,2178,563.09,55.93672370000001,37.3769255,110572.0
Москворечье-Сабурово,ЮАО,930,8702.58,55.64286510000001,37.6703469,164441.0
Нагатино-Садовники,ЮАО,817,10233.41,55.67461170000001,37.645480600000006,180555.0
Нагатинский Затон,ЮАО,980,12361.53,55.6754775,37.6810684,174442.0
Нагорный,ЮАО,542,15091.14,55.6703681,37.6163609,171887.0
Некрасовка,ЮВАО,558,14968.64,55.6973427,37.9422701,110878.0
Нижегородский,ЮВАО,757,6042.01,55.729922200000004,37.71648029999999,167642.0
Новогиреево,ВАО,445,22164.94,55.74876510000001,37.8061677,151974.0
Новокосино,ВАО,360,30056.67,55.7398569,37.8603097,138743.0
Ново-Переделкино,ЗАО,848,14353.54,55.6461043,37.352684,131641.0
Обручевский,ЮЗАО,611,14313.91,55.6641579,37.5203033,200635.0
Орехово-Борисово Северное,ЮАО,767,17249.93,55.619223,37.701102500000005,153030.0
Орехово-Борисово Южное,ЮАО,694,21301.87,55.603885,37.729895,141300.0
Останкинский,СВАО,1246,5112.12,55.82107679999999,37.619119,214077.0
Отрадное,СВАО,1018,18246.07,55.8646371,37.6044745,147300.0
Очаково-Матвеевское,ЗАО,1754,7467.22,55.690291,37.4406611,193998.0
Перово,ВАО,973,14518.91,55.751068999999994,37.75316289999999,154025.0
