Cluster_Labels,Population_density_Mean,Housing_Price_Mean,Population_Dens_Sum,Population_%,District_Count,Area_Sum,Area_%
0,18508.861272727274,167467.45454545456,1017987.3700000001,62.94116289729954,55,34319,32.84837811192894
1,8596.837735849054,176820.01886792452,455632.3999999999,28.171305415790705,53,61132,58.51239985834202
2,11978.640833333337,351858.9166666667,143743.69000000003,8.887531686909758,12,9026,8.63922202972903
