District_Name,Venue_Name,Venue_Category_Name,Venue_Location,Venue_Latitude,Venue_Longitude
Раменки,Vеранда N-House,Italian Restaurant,"Минская Дом 1 Г (Река Сетунь), 121108",55.71144624706736,37.49716261855431
Гагаринский,Florentini City Cafe,Italian Restaurant,"57 Ленинский проспект, 119333",55.69683821704454,37.56087602181037
Гагаринский,Виталита,Italian Restaurant,Ленинский Проспект 60/2,55.69544972891731,37.55760365131636
Котловка,IL Патио,Italian Restaurant,"Большая Черемушкинская 1, 117447",55.68960799999999,37.60272
Нагатино-Садовники,Dan Cafe // Дан Кафе,Italian Restaurant,"Нагатинская 16, Info@dancafe",55.67875192479053,37.64373617686774
Гагаринский,EVOO Restaurant,Italian Restaurant,"ул. Косыгина, 15",55.70581655216155,37.56484809274485
Гагаринский,Анджело / Angelo,Italian Restaurant,"ул. 60-летия Октября, 5 (ул. Вавилова), 119334",55.703395219523145,37.58032118164971
Фили-Давыдково,Bocconcino,Italian Restaurant,"ТРЦ «Океания» (Кутузовский просп., 57), 121352",55.728371942529535,37.47749217491253
Донской,Trattoria Moderna,Italian Restaurant,117105,55.697998,37.62543
Фили-Давыдково,Spettacolo,Italian Restaurant,"ТЦ «Времена года» (Кутузовский просп., 48), 121108",55.73135576035222,37.486353302682154
Раменки,Bellagio,Italian Restaurant,Мосфильмовская 8,55.72397703386116,37.529004708037704
Даниловский,IL PATIO,Italian Restaurant,115432,55.69569186851695,37.665746205635045
Крылатское,Беллини,Italian Restaurant,"Рублёвское ш., 28",55.748363452519406,37.42061584541169
Крылатское,Bellini,Italian Restaurant,"БЦ «Профико» (Рублёвское ш., 28)",55.747830506596614,37.42589265876086
Даниловский,Plum,Italian Restaurant,"ул. Серпуховской Вал, 17, 115191",55.71148430472149,37.61302154216765
Даниловский,Pasta Cup & Pinsa,Italian Restaurant,115280,55.704598,37.639112
Даниловский,Il Патио,Italian Restaurant,115280,55.704319999999996,37.635056
Крылатское,Friends & Family,Italian Restaurant,"Осенний бул., 7, корп. 2, 121609",55.757843082599756,37.40612561646943
Хамовники,Qustoso Cafe,Italian Restaurant,"ул. 10-летия Октября, 11 (ул. Усачева)",55.725050456469496,37.56389369737514
Крылатское,Andiamo cafe,Italian Restaurant,"ТЦ «Европарк» (Рублевское ш., 62)",55.766019905434035,37.38240070922219
Хамовники,Fresco / Фреско,Italian Restaurant,"1-я Фрунзенская ул., 8, 119048",55.72770230628078,37.585158114481395
Якиманка,Де Марко,Italian Restaurant,"Ленинский просп., 13, 119049",55.722503527726424,37.60248194434855
Даниловский,Ньюокки,Italian Restaurant,Россия,55.71881019318014,37.62090575322485
Даниловский,Il Массимо,Italian Restaurant,"ул. Автозаводская, 4",55.709949710588106,37.66340576764129
Даниловский,Friends & family,Italian Restaurant,"Ленинская слобода, 26, 115280",55.70998561153454,37.655766563704454
Южнопортовый,IL Патио,Italian Restaurant,"7 Кожуховская, вл. 9, ТЦ Мозаика",55.70996228446989,37.67547080498796
Хамовники,Bistrot,Italian Restaurant,"Большой Саввинский пер., 12, стр. 2",55.73326773183889,37.56539312960781
Хамовники,Остерия,Italian Restaurant,Россия,55.73456000943307,37.56790635177888
Хамовники,La Scarpetta,Italian Restaurant,"Оболенский пер., 9, корп. 1 (пер. Хользунова), 119021",55.730385999999996,37.579025
Якиманка,Меркато,Italian Restaurant,"ЦПКиО им. Горького (ул. Крымский Вал, 9, стр. 16)",55.72784838701793,37.59817676062495
Якиманка,La Provincia,Italian Restaurant,"Калужская пл., 1, стр. 2 (Мытная ул.), 119049",55.72768802017328,37.61419102008777
Якиманка,Примавера,Italian Restaurant,"ул. Шаболовка, 17, 119049",55.72388870367,37.61106023923949
Кузьминки,Меркато,Italian Restaurant,109462,55.6943047,37.770033899999994
Крылатское,Ресторан Leonchino,Italian Restaurant,"Ул.Крылатская,дом 33/4",55.76936025148572,37.40460189358685
Дорогомилово,Фрателло / Fratello,Italian Restaurant,"ул. Студенческая, 19, корп. 1",55.742763683881165,37.549542240638615
Дорогомилово,Pasta Deli (Паста Дели),Italian Restaurant,"Можайский вал, 8, 121151",55.74356934500899,37.555162452661904
Замоскворечье,Cafe Giusto,Italian Restaurant,Улица Коровий Вал Дом 1А,55.729397999999996,37.621829
Даниловский,Пипл & Паста,Italian Restaurant,"Дербеневская наб., 7, стр. 8",55.722726000060995,37.65295091095949
Кузьминки,Кампанелло,Italian Restaurant,"Зеленодольская ул., 43а",55.702898909892795,37.766130883971094
Пресненский,Tutto Bene,Italian Restaurant,"МФК «Город столиц» (Пресненская наб., 8, стр. 1)",55.747115,37.539078
Дорогомилово,Mammina,Italian Restaurant,"ТРЦ «Европейский» (пл. Киевского вокзала, 2)",55.744391258243034,37.56648352477829
Дорогомилово,Talavera,Italian Restaurant,"Radisson Slavyanskaya (пл. Европы, 2)",55.741902445564655,37.566444384019405
Хамовники,Accenti,Italian Restaurant,"Кропоткинский пер., 7",55.73770913112517,37.593244836521066
Текстильщики,Da Pino,Italian Restaurant,"Волгоградский просп., 73, стр. 1",55.70963524161116,37.744320196067854
Дорогомилово,Christian,Italian Restaurant,"Кутузовский просп., 2/1, стр. 1а",55.75044398651824,37.56450660125239
Дорогомилово,Buono (Боно),Italian Restaurant,"Radisson Royal Hotel (Кутузовский просп., 2/1, стр. 1), 121248",55.75145443829213,37.56555522308226
Дорогомилово,Pinocchio,Italian Restaurant,"Кутузовский просп., 4/2, 121248",55.74932606313335,37.56228642843724
Хамовники,Cantinetta Antinori,Italian Restaurant,"Денежный пер., 20",55.745412,37.58676
Хамовники,Il Forno,Italian Restaurant,"ул. Остоженка, 3/14",55.74397131183074,37.6022923437915
Хорошёво-Мнёвники,Well's Home Cafe,Italian Restaurant,"просп. Маршала Жукова, 43, корп. 5",55.77349468001094,37.47228181991032
Хорошёво-Мнёвники,Жирный гусь,Italian Restaurant,ул. Народного ополчения д.22,55.77305952645265,37.47402770747145
Хорошёво-Мнёвники,SillyCat,Italian Restaurant,"3-й Силикатный пр., 4, 123308",55.76803727518549,37.497639098463395
Пресненский,Донна Маргарита,Italian Restaurant,"ул. 1905 года, 2а",55.75554647341534,37.55938094706409
Пресненский,Лейкин и закон,Italian Restaurant,"Мантулинская ул., 18, 123100",55.756158,37.551541
Дорогомилово,Il Forno,Italian Restaurant,"Кутузовский просп., 2/1, стр. 6",55.752419231678026,37.566984309211065
Замоскворечье,Giovedi Cafe,Italian Restaurant,"Озерковская наб., 26",55.73934308744071,37.6384350974436
Таганский,Сесто Сенсо,Italian Restaurant,"Новоспасский пер., 3, корп. 1 (Большие Каменщики)",55.734357752185105,37.65725609746775
Таганский,Рона,Italian Restaurant,"Воронцовская ул., 21",55.73690537696393,37.65900699755472
Таганский,Верона,Italian Restaurant,"Воронцовская ул., 36/1",55.734476263892404,37.66202085472197
Арбат,Rossini,Italian Restaurant,"Поварская ул., 11/1, 121069",55.75431800000001,37.594612
Арбат,Руккола,Italian Restaurant,"ул. Арбат, 19, 119002",55.75078848965082,37.59611070156098
Хамовники,Il Pizzaiolo,Italian Restaurant,"Волхонка 6, 119019",55.74870485261128,37.609088422794024
Хамовники,Trattoria Luigi,Italian Restaurant,"Деловой дом «Знаменка» (ул. Знаменка, 7, стр. 3), 119019",55.74902056208333,37.60754080343325
Замоскворечье,il Pomodoro,Italian Restaurant,"ул. Садовническая, 54, стр. 2, 115035",55.74345543624462,37.63868316269447
Таганский,Руккола,Italian Restaurant,"ул. Верхняя Радищевская, д.19/3, стр.1, 109240",55.744113,37.651678000000004
Таганский,Риальто,Italian Restaurant,"Большой Факельный пер., 9/11, 109147",55.74123534181665,37.665149097847205
Выхино-Жулебино,Pecorino,Italian Restaurant,"Пронская ул., 2",55.70297732053139,37.84562375431078
Пресненский,Balzi Rossi,Italian Restaurant,"Кудринская пл., 1",55.759428841812685,37.58182104847806
Пресненский,BBcafe,Italian Restaurant,"Скатертный пер., 13",55.75592993604921,37.59449582730394
Пресненский,Палаццо Дукале,Italian Restaurant,"Тверской бул., 3",55.7584201918484,37.59847696714112
Пресненский,Пат-а-шу,Italian Restaurant,Калашный Переулок 4,55.75413416405771,37.60290297152148
Тверской,Bosco Bar,Italian Restaurant,"Красная пл., 3",55.75414374736685,37.62177944183349
Рязанский,La Villa,Italian Restaurant,"Рязанский Проспект 10, стр. 2, 109428",55.72630519780258,37.7582824230194
Вешняки,Паста Да Винчи,Italian Restaurant,"Вешняковская, 39б, 111538",55.71644245165718,37.81905984146739
Хорошёвский,IL Патио,Italian Restaurant,"ТРЦ «Хорошо!» (Хорошевское ш., 27)",55.77772460778474,37.52352113382543
Пресненский,Марио,Italian Restaurant,"ул. Климашкина, 17, 123557",55.767796492044496,37.56853924050964
Пресненский,Foccacceria,Italian Restaurant,"Малая Бронная 26, 123001",55.763394999999996,37.594359000000004
Пресненский,Salumeria,Italian Restaurant,"Спиридоньевский пер., 12/9",55.76274915479844,37.596026072849824
Пресненский,Иностранцы,Italian Restaurant,"Тверской бул., 24, 125009",55.76231571977984,37.60352849799728
Тверской,Il Pizzaiolo,Italian Restaurant,"Никольская ул., 11-13, стр. 1, 109012",55.75681700000001,37.62167700000001
Тверской,La Bottega Siciliana,Italian Restaurant,"ТГ «Модный сезон» (ул. Охотный Ряд, 2)",55.75757306084872,37.61863286190799
Тверской,Jamie's Italian,Italian Restaurant,"ТГ «Модный сезон» (ул. Охотный Ряд, 2)",55.75835143461817,37.618237389669076
Тверской,La Bella Societá,Italian Restaurant,"ул. Охотный Ряд, 2, 109012",55.757886121940615,37.61829192791205
Тверской,Il Pittore,Italian Restaurant,"Никольская плаза (Никольская ул., 10), 109012",55.75800130233078,37.62465312593912
Тверской,Bocconcino,Italian Restaurant,"Страстной бульвар, дом 7",55.767233999999995,37.608281
Тверской,Венеция,Italian Restaurant,"Столешников пер., 9/3, 107031",55.7633054471488,37.61482613969812
Тверской,Il Forno,Italian Restaurant,"Неглинная ул., 8/10 (ул. Кузнецкий Мост), 107031",55.7614293783895,37.620180100188925
Басманный,Farro,Italian Restaurant,"ул. Покровка, 1/13/6, стр. 2, 101000",55.758414,37.639177000000004
Строгино,Pioppo Albero,Italian Restaurant,"ТЦ «Солнечный ветер» (ул. Маршала Катукова, 25), 123631",55.805158586463136,37.414608382418066
Щукино,Примавера,Italian Restaurant,"ул. Маршала Бирюзова, 21 (ул. Маршала Соколовского), 123060",55.794644551965725,37.490867899045355
Хорошёвский,VABENEPIZZA,Italian Restaurant,"ул. Гризодубовой, 4, корп. 4, 123007",55.78626800000001,37.521944
Тверской,Italy,Italian Restaurant,"Большая Грузинская ул., 69, 125047",55.77408241219533,37.585377500480746
Тверской,Luce,Italian Restaurant,"БЦ «Four Winds Plaza» (1-я Тверская-Ямская ул., 21)",55.77436927391305,37.58698046207428
Тверской,Траттория Венеция,Italian Restaurant,"4-я Тверская-Ямская ул., 2/11, стр. 1 (Оружейный пер.), 125047",55.77145151308186,37.599210223641975
Мещанский,Probka,Italian Restaurant,"БЦ «Легенда Цветного» (Цветной бул., 2)",55.76890454815071,37.62310949399637
Мещанский,The Mad Cook,Italian Restaurant,"БЦ «Легенда Цветного» (Цветной бул., 2), 127051",55.768662,37.62358
Красносельский,Паста и Баста,Italian Restaurant,"Сретенский бул., 4 (Милютинский пер.), 101000",55.76654179748154,37.632117949857935
Щукино,Il Tortellino,Italian Restaurant,"ул. Маршала Бирюзова, 22, 123060",55.79582650920181,37.48936671048947
Щукино,Рони Макарони,Italian Restaurant,"ул. Маршала Рыбалко, 2",55.79687810443235,37.496642555306906
Хорошёвский,Amorena,Italian Restaurant,"Ходынский Бульвар, 2, 125167",55.789530000000006,37.537917
Тверской,Osteria della Piazza Bianca,Italian Restaurant,"БЦ «Белая площадь» (ул. Бутырский Вал, 10), 125047",55.778172,37.586106
Тверской,Da Pino,Italian Restaurant,"Делегатская ул., 7/1",55.77567177826704,37.612100838422094
Тверской,People & Pasta (Пипл & Паста),Italian Restaurant,"Цветной бул., 25, стр. 1",55.773093,37.620946
Тверской,Ceretto (Черетто),Italian Restaurant,"Цветной бул., 11, стр. 3, 127051",55.76985359457436,37.620768773440794
Басманный,Florentini City Cafe,Italian Restaurant,"Старая Басманная ул., 9, корп. 1",55.76479744057354,37.65794918739165
Басманный,Osteria Mario,Italian Restaurant,"ул. Земляной Вал, 9, 105064",55.76130639667832,37.65789924954018
Хорошёвский,Ресторан «Черетто»,Italian Restaurant,"Ленинградский Проспект 37Б, 125167",55.790290864969776,37.54353109899478
Хорошёвский,Ceretto (Черетто),Italian Restaurant,"Ленинградский просп., 37Б, 125167",55.793407547436104,37.54471665294146
Тверской,Остерия «У Сальваторе»,Italian Restaurant,"Самотечная ул., 13 (Делегатская ул.), 127473",55.7776076856585,37.61734434919989
