district,adm_okrug,area,pop_density,Latitude,Longitude,dist_price,Cluster_Labels
Даниловский,ЮАО,1260,7540.71,55.7072544,37.6435175,221845.0,1
Дмитровский,САО,729,12831.96,55.8913196,37.5284649,147021.0,1
Донской,ЮАО,573,9081.5,55.7052265,37.6016374,227484.0,1
Дорогомилово,ЗАО,795,9587.17,55.73986970000001,37.5365271,263011.0,1
Замоскворечье,ЦАО,432,13728.01,55.7356637,37.6348669,398544.0,2
Западное Дегунино,САО,753,11205.98,55.8732647,37.5181287,158225.0,1
Зюзино,ЮЗАО,545,23357.98,55.65314179999999,37.5867464,180447.0,0
Зябликово,ЮАО,438,30479.68,55.62181995674133,37.74283912440797,140687.0,0
Ивановское,ВАО,1019,12611.78,55.7700304,37.8258305,141112.0,1
Измайлово,ВАО,1524,7078.94,55.7966159,37.7841549,192313.0,1
Капотня,ЮВАО,806,4182.88,55.63674820000001,37.7984857,120200.0,1
Коньково,ЮЗАО,718,21792.9,55.642605728036834,37.52598788997194,190654.0,0
Коптево,САО,538,19003.35,55.8300649,37.5217381,157633.0,0
Косино-Ухтомский,ВАО,1505,5475.95,55.7137363,37.8884848,132011.0,1
Котловка,ЮЗАО,394,16749.24,55.67698220182439,37.59924438258668,171287.0,0
Красносельский,ЦАО,496,9832.46,55.77744720000001,37.6541598,322543.0,2
Крылатское,ЗАО,1204,6894.27,55.7565949,37.4081393,214855.0,1
Кузьминки,ЮВАО,815,17939.63,55.70560210000001,37.7657844,157459.0,0
Кунцево,ЗАО,1656,9206.94,55.74263249999999,37.3974723,210010.0,1
Куркино,СЗАО,790,4333.04,55.89362070000001,37.3887002,168022.0,1
Левобережный,САО,800,6839.0,55.8650743,37.4691831,171944.0,1
Лефортово,ЮВАО,906,10537.2,55.7573988,37.7049319,188256.0,1
Лианозово,СВАО,579,14859.24,55.9001565,37.5662792,133827.0,0
Ломоносовский,ЮЗАО,334,26469.16,55.6799618,37.5332552,229014.0,0
Лосиноостровский,СВАО,554,14990.25,55.8826072,37.69454010000001,147845.0,0
Люблино,ЮВАО,1741,9909.42,55.6756224,37.7619254,138523.0,1
Марфино,СВАО,297,11979.46,55.8330416,37.59134470000001,167887.0,1
Марьина Роща,СВАО,468,14431.2,55.7955156,37.616309,211977.0,0
Марьино,ЮВАО,1191,21338.54,55.6500377,37.74330560000001,140306.0,0
Метрогородок,ВАО,2757,1418.97,55.8249036,37.756955,132441.0,1
Мещанский,ЦАО,460,13359.13,55.779172,37.6279886,320746.0,2
Митино,СЗАО,1267,15428.26,55.8457543,37.3622259,166324.0,0
Можайский,ЗАО,1073,12961.88,55.7167137,37.4148645,200874.0,1
Молжаниновский,САО,2178,563.09,55.93672370000001,37.3769255,110572.0,1
Москворечье-Сабурово,ЮАО,930,8702.58,55.64286510000001,37.6703469,164441.0,1
Нагатино-Садовники,ЮАО,817,10233.41,55.67461170000001,37.645480600000006,180555.0,1
Нагатинский Затон,ЮАО,980,12361.53,55.6754775,37.6810684,174442.0,1
